Unnamed: 0,image,variant,family
899,939608,A321,A320
900,1790500,A330-20,A330
901,1237863,A330-20,A330
902,1539325,A330-20,A330
903,2238330,A330-20,A330
904,1997848,A330-20,A330
905,1461298,A330-20,A330
906,1103363,A330-20,A330
907,2096236,A330-20,A330
908,2131538,A330-20,A330
909,2197483,A330-20,A330
910,1376301,A330-20,A330
911,2239590,A330-20,A330
912,273146,A330-20,A330
913,1992921,A330-20,A330
914,1053428,A330-20,A330
915,1184708,A330-20,A330
916,491557,A330-20,A330
917,974301,A330-20,A330
918,1549128,A330-20,A330
919,1917518,A330-20,A330
920,977515,A330-20,A330
921,1870658,A330-20,A330
922,2099421,A330-20,A330
923,1880805,A330-20,A330
924,225212,A330-20,A330
925,2258288,A330-20,A330
926,257026,A330-20,A330
927,523063,A330-20,A330
928,1616481,A330-20,A330
929,2260895,A330-20,A330
930,1585032,A330-20,A330
931,2183607,A330-20,A330
932,1912969,A330-20,A330
933,1017290,A330-20,A330
934,1427112,A330-30,A330
935,301964,A330-30,A330
936,1444739,A330-30,A330
937,100207,A330-30,A330
938,1753661,A330-30,A330
939,684608,A330-30,A330
940,1258138,A330-30,A330
941,675670,A330-30,A330
942,457177,A330-30,A330
943,1467620,A330-30,A330
944,2109389,A330-30,A330
945,1936773,A330-30,A330
946,2162934,A330-30,A330
947,1885667,A330-30,A330
948,1027573,A330-30,A330
949,496970,A330-30,A330
950,1795156,A330-30,A330
951,1939758,A330-30,A330
952,1251253,A330-30,A330
953,1531355,A330-30,A330
954,1584962,A330-30,A330
955,857160,A330-30,A330
956,2241971,A330-30,A330
957,2171767,A330-30,A330
958,1979066,A330-30,A330
959,2147234,A330-30,A330
960,175819,A330-30,A330
961,1864988,A330-30,A330
962,1540121,A330-30,A330
963,714155,A330-30,A330
964,2041415,A330-30,A330
965,1146174,A330-30,A330
966,824047,A330-30,A330
967,1313522,A340-20,A340
968,63835,A340-20,A340
969,884477,A340-20,A340
970,414366,A340-20,A340
971,237414,A340-20,A340
972,77196,A340-20,A340
973,1568114,A340-20,A340
974,897300,A340-20,A340
975,295746,A340-20,A340
976,245219,A340-20,A340
977,701753,A340-20,A340
978,1210463,A340-20,A340
979,187671,A340-20,A340
980,241450,A340-20,A340
981,1571964,A340-20,A340
982,1507531,A340-20,A340
983,585327,A340-20,A340
984,1266977,A340-20,A340
985,1111277,A340-20,A340
986,457830,A340-20,A340
987,136500,A340-20,A340
988,72870,A340-20,A340
989,82967,A340-20,A340
990,62258,A340-20,A340
991,1234832,A340-20,A340
992,447785,A340-20,A340
993,918184,A340-20,A340
994,301967,A340-20,A340
995,140272,A340-20,A340
996,523012,A340-20,A340
997,66533,A340-20,A340
998,996579,A340-20,A340
999,151678,A340-20,A340
1000,1413317,A340-30,A340
1001,944221,A340-30,A340
1002,219233,A340-30,A340
1003,2124076,A340-30,A340
1004,1462854,A340-30,A340
1005,529811,A340-30,A340
1006,996087,A340-30,A340
1007,66413,A340-30,A340
1008,76845,A340-30,A340
1009,681536,A340-30,A340
1010,1649738,A340-30,A340
1011,450540,A340-30,A340
1012,1335195,A340-30,A340
1013,1872634,A340-30,A340
1014,690074,A340-30,A340
1015,942763,A340-30,A340
1016,1318416,A340-30,A340
1017,2068053,A340-30,A340
1018,454595,A340-30,A340
1019,745361,A340-30,A340
1020,2175627,A340-30,A340
1021,1073030,A340-30,A340
1022,1690964,A340-30,A340
1023,1340494,A340-30,A340
1024,738965,A340-30,A340
1025,966176,A340-30,A340
1026,1240324,A340-30,A340
1027,1719561,A340-30,A340
1028,1469661,A340-30,A340
1029,1461207,A340-30,A340
1030,175821,A340-30,A340
1031,885090,A340-30,A340
1032,1922848,A340-30,A340
1033,1723789,A340-30,A340
1034,1013667,A340-50,A340
1035,1858302,A340-50,A340
1036,1062482,A340-50,A340
1037,1857215,A340-50,A340
1038,807870,A340-50,A340
1039,1285638,A340-50,A340
1040,819084,A340-50,A340
1041,2049626,A340-50,A340
1042,803689,A340-50,A340
1043,745521,A340-50,A340
1044,1701067,A340-50,A340
1045,796416,A340-50,A340
1046,1706716,A340-50,A340
1047,1633998,A340-50,A340
1048,776777,A340-50,A340
1049,1081563,A340-50,A340
1050,2044905,A340-50,A340
1051,1753485,A340-50,A340
1052,996410,A340-50,A340
1053,996453,A340-50,A340
1054,1469672,A340-50,A340
1055,1417964,A340-50,A340
1056,885622,A340-50,A340
1057,1152283,A340-50,A340
1058,1758713,A340-50,A340
1059,1046881,A340-50,A340
1060,1830876,A340-50,A340
1061,1103339,A340-50,A340
1062,710652,A340-50,A340
1063,509541,A340-50,A340
1064,1469709,A340-50,A340
1065,727643,A340-50,A340
1066,1567881,A340-50,A340
1067,1457710,A340-60,A340
1068,570728,A340-60,A340
1069,1380666,A340-60,A340
1070,1263090,A340-60,A340
1071,1555715,A340-60,A340
1072,466768,A340-60,A340
1073,1204296,A340-60,A340
1074,1926827,A340-60,A340
1075,1426948,A340-60,A340
1076,1218924,A340-60,A340
1077,2063809,A340-60,A340
1078,469779,A340-60,A340
1079,1390327,A340-60,A340
1080,418967,A340-60,A340
1081,369472,A340-60,A340
1082,1883790,A340-60,A340
1083,1495298,A340-60,A340
1084,1619902,A340-60,A340
1085,1525660,A340-60,A340
1086,1758483,A340-60,A340
1087,1206453,A340-60,A340
1088,1840139,A340-60,A340
1089,1420117,A340-60,A340
1090,2260088,A340-60,A340
1091,1471167,A340-60,A340
1092,1823702,A340-60,A340
1093,1088600,A340-60,A340
1094,1484701,A340-60,A340
1095,1567292,A340-60,A340
1096,1921777,A340-60,A340
1097,1723906,A340-60,A340
1098,1111113,A340-60,A340
1099,1055150,A340-60,A340
1100,2194956,A380,A380
1101,1932603,A380,A380
1102,962924,A380,A380
1103,2220792,A380,A380
1104,2158999,A380,A380
1105,1617649,A380,A380
1106,1417441,A380,A380
1107,2089280,A380,A380
1108,2233490,A380,A380
1109,2212259,A380,A380
1110,1979061,A380,A380
1111,1687332,A380,A380
1112,1758424,A380,A380
1113,2251120,A380,A380
1114,2235142,A380,A380
1115,1891187,A380,A380
1116,1891966,A380,A380
1117,1855197,A380,A380
1118,1758486,A380,A380
1119,1252082,A380,A380
1120,2099324,A380,A380
1121,1855337,A380,A380
1122,1508047,A380,A380
1123,1368055,A380,A380
1124,2218523,A380,A380
1125,2032511,A380,A380
1126,1749661,A380,A380
1127,2239301,A380,A380
1128,1840423,A380,A380
1129,1584021,A380,A380
1130,1230040,A380,A380
1131,1531175,A380,A380
1132,1973442,A380,A380
1133,2067948,A380,A380
1134,724121,ATR-42,ATR-42
1135,619697,ATR-42,ATR-42
1136,2243949,ATR-42,ATR-42
1137,97110,ATR-42,ATR-42
1138,851153,ATR-42,ATR-42
1139,1143414,ATR-42,ATR-42
1140,574292,ATR-42,ATR-42
1141,1093637,ATR-42,ATR-42
1142,2026727,ATR-42,ATR-42
1143,833334,ATR-42,ATR-42
1144,136181,ATR-42,ATR-42
1145,442919,ATR-42,ATR-42
1146,1426059,ATR-42,ATR-42
1147,454780,ATR-42,ATR-42
1148,1726753,ATR-42,ATR-42
1149,1557910,ATR-42,ATR-42
1150,353522,ATR-42,ATR-42
1151,64202,ATR-42,ATR-42
1152,901370,ATR-42,ATR-42
1153,673361,ATR-42,ATR-42
1154,91356,ATR-42,ATR-42
1155,1563459,ATR-42,ATR-42
1156,1890576,ATR-42,ATR-42
1157,967812,ATR-42,ATR-42
1158,874829,ATR-42,ATR-42
1159,1883803,ATR-42,ATR-42
1160,1122472,ATR-42,ATR-42
1161,967830,ATR-42,ATR-42
1162,383876,ATR-42,ATR-42
1163,848058,ATR-42,ATR-42
1164,167073,ATR-42,ATR-42
1165,562558,ATR-42,ATR-42
1166,1110774,ATR-42,ATR-42
1167,2222405,ATR-72,ATR-72
1168,2072219,ATR-72,ATR-72
1169,64891,ATR-72,ATR-72
1170,1864787,ATR-72,ATR-72
1171,2080563,ATR-72,ATR-72
1172,1459120,ATR-72,ATR-72
1173,155603,ATR-72,ATR-72
1174,2206628,ATR-72,ATR-72
1175,1408802,ATR-72,ATR-72
1176,1542796,ATR-72,ATR-72
1177,2132459,ATR-72,ATR-72
1178,732747,ATR-72,ATR-72
1179,1838529,ATR-72,ATR-72
1180,447777,ATR-72,ATR-72
1181,2096267,ATR-72,ATR-72
1182,1798654,ATR-72,ATR-72
1183,783933,ATR-72,ATR-72
1184,454747,ATR-72,ATR-72
1185,1325112,ATR-72,ATR-72
1186,1539422,ATR-72,ATR-72
1187,1336451,ATR-72,ATR-72
1188,332910,ATR-72,ATR-72
1189,182178,ATR-72,ATR-72
1190,1256475,ATR-72,ATR-72
1191,2018709,ATR-72,ATR-72
1192,1223346,ATR-72,ATR-72
1193,2262511,ATR-72,ATR-72
1194,1681022,ATR-72,ATR-72
1195,614080,ATR-72,ATR-72
1196,136161,ATR-72,ATR-72
1197,1521101,ATR-72,ATR-72
1198,957905,ATR-72,ATR-72
1199,1251240,ATR-72,ATR-72
1200,1035114,An-12,An-12
1201,1619921,An-12,An-12
1202,1962770,An-12,An-12
1203,1270710,An-12,An-12
1204,764132,An-12,An-12
1205,732118,An-12,An-12
1206,1184706,An-12,An-12
1207,523179,An-12,An-12
1208,1274803,An-12,An-12
1209,765604,An-12,An-12
1210,1052986,An-12,An-12
1211,885174,An-12,An-12
1212,1884753,An-12,An-12
1213,1486550,An-12,An-12
1214,1581712,An-12,An-12
1215,850835,An-12,An-12
1216,1291973,An-12,An-12
1217,1163810,An-12,An-12
1218,572863,An-12,An-12
1219,523148,An-12,An-12
1220,1376795,An-12,An-12
1221,1008572,An-12,An-12
1222,656580,An-12,An-12
1223,1099167,An-12,An-12
1224,738259,An-12,An-12
1225,1173947,An-12,An-12
1226,852361,An-12,An-12
1227,127649,An-12,An-12
1228,793020,An-12,An-12
1229,799596,An-12,An-12
1230,582365,An-12,An-12
1231,920951,An-12,An-12
1232,2259875,An-12,An-12
1233,1124054,An-12,An-12
1234,1159626,BAE 146,BAE 146
1235,966109,BAE 146,BAE 146
1236,1543693,BAE 146,BAE 146
1237,923708,BAE 146,BAE 146
1238,136165,BAE 146,BAE 146
1239,1277986,BAE 146,BAE 146
1240,1193030,BAE 146,BAE 146
1241,1158113,BAE 146,BAE 146
1242,143389,BAE 146,BAE 146
1243,922626,BAE 146,BAE 146
1244,1933201,BAE 146,BAE 146
1245,1276530,BAE 146,BAE 146
1246,1598901,BAE 146,BAE 146
1247,1358106,BAE 146,BAE 146
1248,1133135,BAE 146,BAE 146
1249,957225,BAE 146,BAE 146
1250,143373,BAE 146,BAE 146
1251,1950554,BAE 146,BAE 146
1252,1725762,BAE 146,BAE 146
1253,1192235,BAE 146,BAE 146
1254,662510,BAE 146,BAE 146
1255,1084922,BAE 146,BAE 146
1256,2126018,BAE 146,BAE 146
1257,1615889,BAE 146,BAE 146
1258,1255846,BAE 146,BAE 146
1259,979659,BAE 146,BAE 146
1260,136182,BAE 146,BAE 146
1261,719827,BAE 146,BAE 146
1262,1784215,BAE 146,BAE 146
1263,992232,BAE 146,BAE 146
1264,1781350,BAE 146,BAE 146
1265,1386685,BAE 146,BAE 146
1266,1552206,BAE 146,BAE 146
1267,890939,BAE 146,BAE 146
1268,573944,BAE 146,BAE 146
1269,936618,BAE 146,BAE 146
1270,809054,BAE 146,BAE 146
1271,1331909,BAE 146,BAE 146
1272,917712,BAE 146,BAE 146
1273,647819,BAE 146,BAE 146
1274,136162,BAE 146,BAE 146
1275,62260,BAE 146,BAE 146
1276,1352225,BAE 146,BAE 146
1277,134597,BAE 146,BAE 146
1278,570801,BAE 146,BAE 146
1279,1313666,BAE 146,BAE 146
1280,350203,BAE 146,BAE 146
1281,918736,BAE 146,BAE 146
1282,77518,BAE 146,BAE 146
1283,1336071,BAE 146,BAE 146
1284,758359,BAE 146,BAE 146
1285,1983851,BAE 146,BAE 146
1286,167122,BAE 146,BAE 146
1287,1829586,BAE 146,BAE 146
1288,517105,BAE 146,BAE 146
1289,420194,BAE 146,BAE 146
1290,273083,BAE 146,BAE 146
1291,1289187,BAE 146,BAE 146
1292,1541390,BAE 146,BAE 146
1293,523168,BAE 146,BAE 146
1294,890662,BAE 146,BAE 146
1295,1758701,BAE 146,BAE 146
1296,1104208,BAE 146,BAE 146
1297,65577,BAE 146,BAE 146
1298,1918305,BAE 146,BAE 146
1299,1188038,BAE 146,BAE 146
1300,1001973,BAE-125,BAE-125
1301,1099011,BAE-125,BAE-125
1302,361575,BAE-125,BAE-125
1303,1818164,BAE-125,BAE-125
1304,550468,BAE-125,BAE-125
1305,517633,BAE-125,BAE-125
1306,1902706,BAE-125,BAE-125
1307,1070335,BAE-125,BAE-125
1308,1006795,BAE-125,BAE-125
1309,1030259,BAE-125,BAE-125
1310,2259583,BAE-125,BAE-125
1311,275249,BAE-125,BAE-125
1312,1451426,BAE-125,BAE-125
1313,1216808,BAE-125,BAE-125
1314,1926848,BAE-125,BAE-125
1315,1600520,BAE-125,BAE-125
1316,1124594,BAE-125,BAE-125
1317,1234384,BAE-125,BAE-125
1318,1820311,BAE-125,BAE-125
1319,1563979,BAE-125,BAE-125
1320,1417777,BAE-125,BAE-125
1321,1662815,BAE-125,BAE-125
1322,926152,BAE-125,BAE-125
1323,853775,BAE-125,BAE-125
1324,1228464,BAE-125,BAE-125
1325,1899145,BAE-125,BAE-125
1326,83356,BAE-125,BAE-125
1327,2094357,BAE-125,BAE-125
1328,1980863,BAE-125,BAE-125
1329,1806228,BAE-125,BAE-125
1330,1359885,BAE-125,BAE-125
1331,1714820,BAE-125,BAE-125
1332,2128060,BAE-125,BAE-125
1333,463096,BAE-125,BAE-125
1334,1630487,Beechcr,Beechcraft 1900
1335,1355201,Beechcr,Beechcraft 1900
1336,202466,Beechcr,Beechcraft 1900
1337,1326007,Beechcr,Beechcraft 1900
1338,169310,Beechcr,Beechcraft 1900
1339,48340,Beechcr,Beechcraft 1900
1340,1455997,Beechcr,Beechcraft 1900
1341,1043369,Beechcr,Beechcraft 1900
1342,447803,Beechcr,Beechcraft 1900
1343,1564412,Beechcr,Beechcraft 1900
1344,1355200,Beechcr,Beechcraft 1900
1345,1772155,Beechcr,Beechcraft 1900
1346,1548200,Beechcr,Beechcraft 1900
1347,356149,Beechcr,Beechcraft 1900
1348,1036822,Beechcr,Beechcraft 1900
1349,1540395,Beechcr,Beechcraft 1900
1350,179022,Beechcr,Beechcraft 1900
1351,636482,Beechcr,Beechcraft 1900
1352,63286,Beechcr,Beechcraft 1900
1353,751325,Beechcr,Beechcraft 1900
1354,1239223,Beechcr,Beechcraft 1900
1355,1376991,Beechcr,Beechcraft 1900
1356,1094916,Beechcr,Beechcraft 1900
1357,299647,Beechcr,Beechcraft 1900
1358,147028,Beechcr,Beechcraft 1900
1359,957980,Beechcr,Beechcraft 1900
1360,1052486,Beechcr,Beechcraft 1900
1361,174885,Beechcr,Beechcraft 1900
1362,1422830,Beechcr,Beechcraft 1900
1363,1484700,Beechcr,Beechcraft 1900
1364,1018861,Beechcr,Beechcraft 1900
1365,1713232,Beechcr,Beechcraft 1900
1366,64904,Beechcr,Beechcraft 1900
1367,2017851,Boeing,Boeing 717
1368,302019,Boeing,Boeing 717
1369,38671,Boeing,Boeing 717
1370,2116194,Boeing,Boeing 717
1371,1073334,Boeing,Boeing 717
1372,1022382,Boeing,Boeing 717
1373,1623699,Boeing,Boeing 717
1374,1765610,Boeing,Boeing 717
1375,1555985,Boeing,Boeing 717
1376,1323660,Boeing,Boeing 717
1377,1094687,Boeing,Boeing 717
1378,573368,Boeing,Boeing 717
1379,1455320,Boeing,Boeing 717
1380,1346116,Boeing,Boeing 717
1381,2003241,Boeing,Boeing 717
1382,440054,Boeing,Boeing 717
1383,1204271,Boeing,Boeing 717
1384,875560,Boeing,Boeing 717
1385,1351340,Boeing,Boeing 717
1386,2240254,Boeing,Boeing 717
1387,918557,Boeing,Boeing 717
1388,944208,Boeing,Boeing 717
1389,2171061,Boeing,Boeing 717
1390,1098956,Boeing,Boeing 717
1391,233765,Boeing,Boeing 717
1392,500443,Boeing,Boeing 717
1393,2236360,Boeing,Boeing 717
1394,1879981,Boeing,Boeing 717
1395,337951,Boeing,Boeing 717
1396,1351195,Boeing,Boeing 717
1397,2124340,Boeing,Boeing 717
1398,279936,Boeing,Boeing 717
1399,960135,Boeing,Boeing 717
1400,1522867,C-130,C-130
1401,774035,C-130,C-130
1402,1364712,C-130,C-130
1403,1085194,C-130,C-130
1404,1414395,C-130,C-130
1405,1794564,C-130,C-130
1406,1033590,C-130,C-130
1407,939510,C-130,C-130
1408,2260054,C-130,C-130
1409,967838,C-130,C-130
1410,773222,C-130,C-130
1411,280348,C-130,C-130
1412,1940180,C-130,C-130
1413,1543648,C-130,C-130
1414,1931897,C-130,C-130
1415,2049579,C-130,C-130
1416,434345,C-130,C-130
1417,771762,C-130,C-130
1418,1404391,C-130,C-130
1419,1196802,C-130,C-130
1420,610659,C-130,C-130
1421,1534869,C-130,C-130
1422,573367,C-130,C-130
1423,875344,C-130,C-130
1424,962825,C-130,C-130
1425,772253,C-130,C-130
1426,1522562,C-130,C-130
1427,958085,C-130,C-130
1428,1373821,C-130,C-130
1429,883339,C-130,C-130
1430,1055698,C-130,C-130
1431,978113,C-130,C-130
1432,977928,C-130,C-130
1433,1048528,C-130,C-130
1434,602228,C-47,C-47
1435,975825,C-47,C-47
1436,422859,C-47,C-47
1437,174884,C-47,C-47
1438,573369,C-47,C-47
1439,704643,C-47,C-47
1440,1461334,C-47,C-47
1441,1649868,C-47,C-47
1442,1619369,C-47,C-47
1443,800871,C-47,C-47
1444,458675,C-47,C-47
1445,1654709,C-47,C-47
1446,953525,C-47,C-47
1447,1535841,C-47,C-47
1448,1287590,C-47,C-47
1449,1336323,C-47,C-47
1450,2021848,C-47,C-47
1451,586259,C-47,C-47
1452,336316,C-47,C-47
1453,1455902,C-47,C-47
1454,1383371,C-47,C-47
1455,576251,C-47,C-47
1456,1023003,C-47,C-47
1457,548477,C-47,C-47
1458,492493,C-47,C-47
1459,735009,C-47,C-47
1460,1278429,C-47,C-47
1461,1036801,C-47,C-47
1462,1284221,C-47,C-47
1463,1586905,C-47,C-47
1464,1941127,C-47,C-47
1465,1255008,C-47,C-47
1466,1010452,C-47,C-47
1467,59107,CRJ-200,CRJ-200
1468,362859,CRJ-200,CRJ-200
1469,2184006,CRJ-200,CRJ-200
1470,235626,CRJ-200,CRJ-200
1471,1633873,CRJ-200,CRJ-200
1472,855449,CRJ-200,CRJ-200
1473,1567620,CRJ-200,CRJ-200
1474,1037465,CRJ-200,CRJ-200
1475,184899,CRJ-200,CRJ-200
1476,1616482,CRJ-200,CRJ-200
1477,712062,CRJ-200,CRJ-200
1478,275729,CRJ-200,CRJ-200
1479,996526,CRJ-200,CRJ-200
1480,942395,CRJ-200,CRJ-200
1481,2192666,CRJ-200,CRJ-200
1482,1379571,CRJ-200,CRJ-200
1483,2201197,CRJ-200,CRJ-200
1484,662509,CRJ-200,CRJ-200
1485,1784292,CRJ-200,CRJ-200
1486,136184,CRJ-200,CRJ-200
1487,1355445,CRJ-200,CRJ-200
1488,1337508,CRJ-200,CRJ-200
1489,1700606,CRJ-200,CRJ-200
1490,848069,CRJ-200,CRJ-200
1491,454583,CRJ-200,CRJ-200
1492,523218,CRJ-200,CRJ-200
1493,313724,CRJ-200,CRJ-200
1494,870126,CRJ-200,CRJ-200
1495,2031889,CRJ-200,CRJ-200
1496,2123951,CRJ-200,CRJ-200
1497,1204184,CRJ-200,CRJ-200
1498,340217,CRJ-200,CRJ-200
1499,130598,CRJ-200,CRJ-200
1500,2234631,CRJ-700,CRJ-700
1501,1979606,CRJ-700,CRJ-700
1502,917341,CRJ-700,CRJ-700
1503,1337461,CRJ-700,CRJ-700
1504,394078,CRJ-700,CRJ-700
1505,849350,CRJ-700,CRJ-700
1506,2243380,CRJ-700,CRJ-700
1507,245920,CRJ-700,CRJ-700
1508,1189525,CRJ-700,CRJ-700
1509,2207336,CRJ-700,CRJ-700
1510,1338551,CRJ-700,CRJ-700
1511,1198137,CRJ-700,CRJ-700
1512,2189858,CRJ-700,CRJ-700
1513,955449,CRJ-700,CRJ-700
1514,1243371,CRJ-700,CRJ-700
1515,435289,CRJ-700,CRJ-700
1516,931743,CRJ-700,CRJ-700
1517,1249564,CRJ-700,CRJ-700
1518,1186595,CRJ-700,CRJ-700
1519,2059195,CRJ-700,CRJ-700
1520,1498555,CRJ-700,CRJ-700
1521,476813,CRJ-700,CRJ-700
1522,2070642,CRJ-700,CRJ-700
1523,2024691,CRJ-700,CRJ-700
1524,728571,CRJ-700,CRJ-700
1525,888030,CRJ-700,CRJ-700
1526,929800,CRJ-700,CRJ-700
1527,1719820,CRJ-700,CRJ-700
1528,487399,CRJ-700,CRJ-700
1529,1260949,CRJ-700,CRJ-700
1530,2070772,CRJ-700,CRJ-700
1531,1385344,CRJ-700,CRJ-700
1532,1232502,CRJ-700,CRJ-700
1533,357866,CRJ-700,CRJ-700
1534,1647811,CRJ-900,CRJ-700
1535,1503445,CRJ-900,CRJ-700
1536,1552976,CRJ-900,CRJ-700
1537,1559654,CRJ-900,CRJ-700
1538,1692199,CRJ-900,CRJ-700
1539,1763779,CRJ-900,CRJ-700
1540,1055154,CRJ-900,CRJ-700
1541,1058493,CRJ-900,CRJ-700
1542,1663301,CRJ-900,CRJ-700
1543,2193787,CRJ-900,CRJ-700
1544,1567825,CRJ-900,CRJ-700
1545,1623412,CRJ-900,CRJ-700
1546,1554751,CRJ-900,CRJ-700
1547,1377655,CRJ-900,CRJ-700
1548,2154432,CRJ-900,CRJ-700
1549,1124972,CRJ-900,CRJ-700
1550,1542646,CRJ-900,CRJ-700
1551,1762142,CRJ-900,CRJ-700
1552,2090708,CRJ-900,CRJ-700
1553,1708263,CRJ-900,CRJ-700
1554,1558772,CRJ-900,CRJ-700
1555,1465847,CRJ-900,CRJ-700
1556,1903010,CRJ-900,CRJ-700
1557,1861594,CRJ-900,CRJ-700
1558,1275811,CRJ-900,CRJ-700
1559,1113449,CRJ-900,CRJ-700
1560,1517329,CRJ-900,CRJ-700
1561,2221719,CRJ-900,CRJ-700
1562,1781328,CRJ-900,CRJ-700
1563,2117313,CRJ-900,CRJ-700
1564,1348827,CRJ-900,CRJ-700
1565,1342007,CRJ-900,CRJ-700
1566,1929102,CRJ-900,CRJ-700
1567,1072668,Cessna,Cessna 172
1568,1923371,Cessna,Cessna 172
1569,1711195,Cessna,Cessna 172
1570,1249912,Cessna,Cessna 172
1571,1647142,Cessna,Cessna 172
1572,1221755,Cessna,Cessna 172
1573,1028490,Cessna,Cessna 172
1574,1172360,Cessna,Cessna 172
1575,1488620,Cessna,Cessna 172
1576,1103952,Cessna,Cessna 172
1577,2157114,Cessna,Cessna 172
1578,1287207,Cessna,Cessna 172
1579,2243572,Cessna,Cessna 172
1580,1338515,Cessna,Cessna 172
1581,1502612,Cessna,Cessna 172
1582,2244487,Cessna,Cessna 172
1583,1683150,Cessna,Cessna 172
1584,564217,Cessna,Cessna 172
1585,2072465,Cessna,Cessna 172
1586,896106,Cessna,Cessna 172
1587,974654,Cessna,Cessna 172
1588,1125619,Cessna,Cessna 172
1589,509496,Cessna,Cessna 172
1590,2259104,Cessna,Cessna 172
1591,890644,Cessna,Cessna 172
1592,1340401,Cessna,Cessna 172
1593,1709268,Cessna,Cessna 172
1594,1739298,Cessna,Cessna 172
1595,2180098,Cessna,Cessna 172
1596,747557,Cessna,Cessna 172
1597,743928,Cessna,Cessna 172
1598,1726480,Cessna,Cessna 172
1599,1126597,Cessna,Cessna 172
1600,789704,Cessna,Cessna 208
1601,323097,Cessna,Cessna 208
1602,602762,Cessna,Cessna 208
1603,304640,Cessna,Cessna 208
1604,1146070,Cessna,Cessna 208
1605,796297,Cessna,Cessna 208
1606,2116123,Cessna,Cessna 208
1607,184369,Cessna,Cessna 208
1608,995399,Cessna,Cessna 208
1609,1146069,Cessna,Cessna 208
1610,1043800,Cessna,Cessna 208
1611,1337501,Cessna,Cessna 208
1612,979649,Cessna,Cessna 208
1613,1017972,Cessna,Cessna 208
1614,2096268,Cessna,Cessna 208
1615,1036821,Cessna,Cessna 208
1616,1337502,Cessna,Cessna 208
1617,1785533,Cessna,Cessna 208
1618,1769168,Cessna,Cessna 208
1619,279893,Cessna,Cessna 208
1620,851157,Cessna,Cessna 208
1621,1347237,Cessna,Cessna 208
1622,1911423,Cessna,Cessna 208
1623,809454,Cessna,Cessna 208
1624,1156006,Cessna,Cessna 208
1625,362903,Cessna,Cessna 208
1626,816285,Cessna,Cessna 208
1627,1345203,Cessna,Cessna 208
1628,1449582,Cessna,Cessna 208
1629,175724,Cessna,Cessna 208
1630,1337511,Cessna,Cessna 208
1631,1540297,Cessna,Cessna 208
1632,302987,Cessna,Cessna 208
1633,301977,Cessna,Cessna 208
1634,2066265,Cessna,Cessna Citation
1635,1737573,Cessna,Cessna Citation
1636,1767578,Cessna,Cessna Citation
1637,1936341,Cessna,Cessna Citation
1638,466917,Cessna,Cessna Citation
1639,1351592,Cessna,Cessna Citation
1640,1646257,Cessna,Cessna Citation
1641,2073069,Cessna,Cessna Citation
1642,2066882,Cessna,Cessna Citation
1643,93500,Cessna,Cessna Citation
1644,1774335,Cessna,Cessna Citation
1645,1768891,Cessna,Cessna Citation
1646,1675548,Cessna,Cessna Citation
1647,1601572,Cessna,Cessna Citation
1648,1878581,Cessna,Cessna Citation
1649,1681554,Cessna,Cessna Citation
1650,1050675,Cessna,Cessna Citation
1651,2040355,Cessna,Cessna Citation
1652,1921500,Cessna,Cessna Citation
1653,1806229,Cessna,Cessna Citation
1654,1135961,Cessna,Cessna Citation
1655,1060984,Cessna,Cessna Citation
1656,1066523,Cessna,Cessna Citation
1657,1824499,Cessna,Cessna Citation
1658,1694806,Cessna,Cessna Citation
1659,1807111,Cessna,Cessna Citation
1660,1560577,Cessna,Cessna Citation
1661,1882581,Cessna,Cessna Citation
1662,1818166,Cessna,Cessna Citation
1663,1047759,Cessna,Cessna Citation
1664,1686421,Cessna,Cessna Citation
1665,1550758,Cessna,Cessna Citation
1666,1960029,Cessna,Cessna Citation
1667,521262,Cessna,Cessna Citation
1668,1943161,Cessna,Cessna Citation
1669,1806232,Cessna,Cessna Citation
1670,1401605,Cessna,Cessna Citation
1671,2036176,Cessna,Cessna Citation
1672,1689673,Cessna,Cessna Citation
1673,1889545,Cessna,Cessna Citation
1674,1034888,Cessna,Cessna Citation
1675,1239645,Cessna,Cessna Citation
1676,524795,Cessna,Cessna Citation
1677,1571317,Cessna,Cessna Citation
1678,1585256,Cessna,Cessna Citation
1679,759286,Cessna,Cessna Citation
1680,2231272,Cessna,Cessna Citation
1681,2139323,Cessna,Cessna Citation
1682,584541,Cessna,Cessna Citation
1683,1468804,Cessna,Cessna Citation
1684,1158577,Cessna,Cessna Citation
1685,2139677,Cessna,Cessna Citation
1686,781149,Cessna,Cessna Citation
1687,1672431,Cessna,Cessna Citation
1688,1084078,Cessna,Cessna Citation
1689,1042331,Cessna,Cessna Citation
1690,1398168,Cessna,Cessna Citation
1691,1897992,Cessna,Cessna Citation
1692,2175260,Cessna,Cessna Citation
1693,1900831,Cessna,Cessna Citation
1694,1726483,Cessna,Cessna Citation
1695,1037834,Cessna,Cessna Citation
1696,526028,Cessna,Cessna Citation
1697,1033949,Cessna,Cessna Citation
1698,1970744,Cessna,Cessna Citation
1699,1312509,Cessna,Cessna Citation
1700,440694,Challen,Challenger 600
1701,1053532,Challen,Challenger 600
1702,637453,Challen,Challenger 600
1703,1099168,Challen,Challenger 600
1704,1312523,Challen,Challenger 600
1705,905853,Challen,Challenger 600
1706,1846149,Challen,Challenger 600
1707,1062392,Challen,Challenger 600
1708,239592,Challen,Challenger 600
